0	119326.761	70212.54	4.69	5	5
1	120876.9841	80611.21	5.83	7	7
2	122930.0429	83614.8	9.23	7	7
3	128195.0961	68292.99	10.47	5	5
4	113996.4372	84458.22	11.35	5	5
5	108188.6187	74589.11	11.85	5	3
8	108758.3715	70434.26	12.11	7	7
6	110948.9547	82946.36	12.17	5	5
9	112308.3415	65273.47	12.3	3	3
7	123519.2323	62974.98	12.37	7	7
10	117538.4905	87537.78	12.93	7	7
11	116070.8059	62021.65	13.42	5	5
12	120683.7228	60629.07	14.23	7	5
13	127350.7887	62527.59	14.33	5	5
14	109471.1315	64662.41	14.67	5	5
15	134852.0831	75690.78	14.84	3	3
17	107332.51	84144.39	15.74	7	9
16	111441.7783	88126.21	15.82	5	5
18	118102.7337	90754	16.02	5	5
19	111530.7714	61160.08	16.11	5	5
20	104787.1983	68740.15	16.42	5	5
21	103366.5415	73779.95	16.7	9	9
23	103152.5951	76782.39	16.99	5	5
22	123666.2676	58176.34	17.06	7	7
24	114725.5875	58450.55	17.23	5	5
25	108124.929	61670.08	17.76	7	7
26	137826.723	78157.13	18.1	5	5
363	102992.6779	68629.45	18.14	3	3
27	110164.228	90682.48	18.66	7	7
28	107117.408	88736.63	18.97	7	7
29	121572.8203	93776.2	18.99	3	3
32	114840.3044	93256.59	19.13	5	5
30	128917.5561	57744.34	19.27	7	7
33	101098.0614	70892.49	19.34	7	7
31	102653.6794	83450.79	19.39	7	7
346	130917.4354	91049.31	19.52	7	7
34	138103.7276	82442.77	19.6	3	3
35	126294.3235	55863.64	19.99	7	7
37	100031.887	78680.32	20.36	7	7
36	112598.7815	55824.91	20.42	7	7
38	127784.949	55504.45	20.84	7	7
40	103939.6074	60235	21.74	3	3
351	117261.3883	96522.54	21.85	5	5
41	114587.3423	53708.18	21.83	7	7
42	123246.1074	52908.63	22.17	7	7
43	127290.2535	53792.49	22.27	9	7
44	142449.1925	70255.08	22.88	7	7
45	106141.127	56127.83	23.31	7	7
46	120692.7374	51376.6	23.48	7	7
47	96487.7323	71559.99	23.77	7	7
48	97124.1037	81475.9	23.85	5	5
49	129137.0924	52424.82	24.2	7	7
50	133832.3432	94829.71	24.29	9	7
51	142852.2064	83485.3	24.4	3	3
52	96559.5475	66563.45	24.89	5	5
53	119157.383	100019.36	25.19	3	3
54	122539.725	49719.94	25.25	7	7
56	138300.1903	92890.54	25.68	7	5
55	115158.3661	49551.82	25.76	9	9
58	142206.5028	88020.73	25.79	5	5
57	94146.8642	75113.78	25.89	7	7
59	117288.2575	48852.53	26.14	9	7
60	126018.3975	48977.47	26.55	9	7
61	104723.4686	52644.32	26.97	9	7
62	101174.1225	55349.52	27.12	5	3
63	92515.9044	72465.9	27.62	7	7
64	92515.6129	78964.36	27.82	7	7
65	124043.9351	102483.21	27.93	5	5
66	120555.3947	46633.16	28.22	7	7
67	91877.6853	68905.89	28.77	5	5
68	94574.0163	60445.64	29.25	5	5
69	127157.3917	46155.68	29.56	5	5
71	145533.7272	90493.71	29.92	7	7
70	129286.8895	46178.87	30.13	7	7
72	129996.7214	46186.61	30.34	7	7
73	89821.0695	77603.13	30.34	7	7
74	140564.3033	51741.95	30.91	7	7
75	97484.3662	53892.54	30.78	3	3
76	90813.6716	64561.35	30.98	5	7
77	106642.6636	46712.67	31.16	5	5
78	140425.8445	49599.08	32.46	7	7
79	104158.4587	46252.15	32.71	3	3
80	107392.007	105443.74	33.1	3	3
81	92232.7608	57068.56	33	3	3
82	119495.5261	41417.27	33.43	3	3
83	100111.8624	47970.44	33.45	7	7
84	96846.2854	50621.17	33.53	7	7
85	132824.2099	106445.92	34.09	3	3
86	87054.0155	66221.4	34.09	3	3
87	126595.3089	41204.05	34.28	3	3
88	129988.862	107709.88	34.34	5	5
89	133178.0194	106739.9	34.5	3	3
339	108249.31	42400.96	34.52	5	5
91	147010.8897	96648.63	34.69	5	5
90	131067.3738	41714.71	34.92	9	7
92	88046.5848	60832.99	34.92	5	5
93	105437.7169	42971.83	35.06	5	5
94	118006.2267	39608.84	35.3	3	3
95	91807.0846	53540.24	35.36	5	5
97	88542.9706	57777.66	35.82	3	5
96	125816.581	39258.07	36.06	5	5
98	137925.3122	106195.42	36.1	7	5
99	144948.0221	101021.22	36.14	5	5
100	129366.1884	39585.01	36.48	3	3
101	111474.584	39134.78	36.72	5	5
102	111474.584	39134.78	36.72	5	5
103	84003.5619	65579.49	37.2	3	3
104	93652.6351	48564.03	37.24	7	5
106	82302.8549	71824.57	37.85	5	5
105	133058.755	39161.42	37.99	7	7
107	82727.0934	67123.66	38.1	3	5
109	87620.1375	54417.53	38.31	3	3
108	104800.3303	39555.24	38.44	5	5
111	81805.6809	69537.94	38.59	3	3
110	90813.504	49688.09	38.56	3	3
112	96137.5699	44402.8	38.7	5	5
115	148135.3747	101641.81	38.83	7	7
116	96776.5816	43774.2	38.81	5	5
114	100539.8255	41243.47	38.85	5	5
113	124400.0803	36062	39.03	5	5
118	103025.2321	39825.33	38.93	5	5
117	81379.9906	69186.49	39.06	3	3
120	84924.1423	57678.9	39.08	3	3
329	81195.6687	69481.67	39.2	3	3
119	80743.419	74433.07	39.29	7	7
121	106576.1222	37984.7	39.24	5	5
122	101889.1694	40044.39	39.25	5	5
123	81591.5168	65176.11	39.64	5	5
125	107996.9848	36554.72	40.14	5	5
124	80178.36	80748.38	40.29	7	7
126	80178.36	80748.38	40.29	7	7
