CE14002	141	103168.6159	36330.6487
NP05285	140	139168.0531	37114.0136
CE24023	142	77763.0733	70385.0774
CE23084	143	146564.6742	108162.5722
CE14871	144	105086.5468	34732.5743
CE24034	145	82013.6924	53690.7304
CE24020	146	79389.8334	58597.6917
CE14787	149	88612.8064	44408.1232
CISTS	150	100967.7447	35238.5642
CE14847	148	97061.7904	37364.3031
CE14059	152	91949.3673	40227.4975
CE14001	154	98979.4454	35333.3488
CE14560	153	102601.6082	33550.9150
CE23792.D1	155	145637.0867	111883.8142
CIWTT	157	85702.5027	45618.2713
CE23542	158	145565.8430	112114.3945
NP05265	156	125441.3685	119853.3909
CE14826	160	82438.3475	49711.3387
CE23898	159	138617.9057	116331.8086
CE24977	162	79671.8836	53924.3801
CIPASC.10	350	74882.5583	68786.6922
CISDD	161	155905.6457	46324.3838
CE24813	163	76906.9343	59724.0495
CE24987	165	81019.2587	50994.8124
CE24611	166	78466.1320	55527.3986
CE24814	164	75277.5725	64583.2056
NP05328	167	148046.1879	111424.2788
CE24289	168	78323.9745	54977.3494
CE24839	169	78182.1208	55148.9520
CE23780	173	143860.8383	115043.3197
CE14935	172	90955.3806	38253.0610
CE24021	171	73647.9828	68143.0099
CE24838	170	78819.7703	52644.7327
CE13080	174	155423.9296	106109.4055
CICFS.00	321	143483.6690	116091.6102
CE24612	175	77826.2243	52691.4078
NP05337	176	140243.4145	118408.5509
CITA2	361	95899.1080	116574.5966
CE24980	178	76762.1645	53689.8085
CICHF	177	74724.8822	91966.5870
CE24039	179	79527.8579	48466.8651
CE14821	180	81727.1939	45228.6981
CIUSC	182	78534.7149	49812.6840
CE24852	181	78180.0821	50386.0913
CE24812	183	73784.4598	58736.0344
CE24946	184	71660.7187	66359.3319
CE13925	186	161314.7815	101438.0808
CE14934	188	83217.0958	42126.7282
CE14824	185	88967.1853	36614.8920
CE24816	187	76051.7037	52094.3952
NP05327	189	138823.2778	120848.4896
CE14835	190	97134.0950	30778.7518
CE24853	192	74420.8741	54789.2574
CE14846	191	93938.0265	32478.9520
NP05037	193	154776.2195	110936.0180
CE24016	194	71374.0885	61940.7266
CE14017	195	78746.0000	45802.5916
CE24945	196	70524.1087	63979.8023
CE24982	197	72647.9069	56645.2419
CE14988	199	84281.2174	38673.4113
CE13922	198	171018.7851	75693.2107
CE23897	200	143639.4218	120220.6693
CE14004	201	99691.6153	27973.7758
CE24010	202	68896.2091	69126.0262
CE14043	204	81370.7226	40461.3967
CE14834	203	82506.2916	39087.6977
CE24811	205	72362.4918	54102.4257
CE24984	207	75623.6311	47702.5013
CE24833	206	73283.7067	51832.7800
CE14845	208	94009.3230	29504.6612
CE14537	209	79738.0329	41136.8337
CIPER	352	166285.9839	99713.0803
CE13213.FF	210	163291.0199	104678.8834
CE13928	211	169842.2438	91844.6449
CE13070	212	160249.9467	40058.5839
CILAF	213	85984.5138	34302.4905
CE14820	214	76402.7639	44305.1068
CE24810	215	70376.2107	55205.6302
CIHLN	336	146873.6629	121217.6907
CE23111	216	132158.6228	127178.0464
NP05411	219	88824.7521	31155.4849
CE24752	218	68463.2383	59252.6563
CE24943	217	67472.6294	62761.5021
CE13096	220	173554.1718	82156.2924
CE14044	223	76827.7012	42202.6127
CE14831	221	92233.7833	28331.2493
CE24944	222	65917.7246	69841.1031
CE14003	224	98769.0748	24757.7008
CE24818	225	72500.6764	48014.6793
NP05161	228	146254.6965	122832.8376
CE13927	229	164348.8094	106720.3851
CE23958	227	94071.3159	123291.1085
NP05031	226	79197.9061	111681.6402
CE24851	230	70727.9170	50592.4295
CE23169	232	152775.9777	119275.9346
CE24157	231	73918.2309	44422.5884
CE14037	233	90600.1736	27708.1568
CIFMP	334	99735.6294	23039.7578
CE24809	235	68245.3387	52584.8213
CE14036	236	83356.5123	32138.6503
CE14767	237	75832.4294	39507.6904
CILCG	340	73335.1913	42831.8689
CE24011	238	66686.4718	55625.8591
CE14822	239	77038.6789	37904.0803
CE24703.D1	240	70795.7315	45889.4455
CISBPX	357	137874.7884	129822.2428
CIMIS.00	322	94826.8792	22999.5162
CE14038	241	87190.7899	27211.5533
CE24983	242	69305.7245	46825.5026
CE24947	243	63497.7530	60638.5851
CE14035	244	72567.4439	41146.9016
CILUG	344	119098.2430	133476.1001
CE24865	245	64415.5617	55484.9360
CE13930	247	177720.7529	87945.7135
CIWNS.FF	364	65051.6951	52549.3103
CE24015	246	62079.8376	61776.2621
CE13097	248	179393.9771	73215.0740
CE24009	249	60526.7225	69431.3468
CE24012	250	63351.5119	55905.7148
NP5399	325	74786.7708	35877.3286
CE14221	251	79024.1402	31314.5544
CIHLL	252	62148.0812	58950.0009
CE13095	151	174497.1498	100220.0108
CIDEC	253	58467.3085	67157.3131
CE24909	254	67243.3846	41955.7000
CE13924	256	179898.9130	94552.0764
CE24978	255	65611.2115	42774.9257
CE24801	257	60510.3990	53277.6590
CIRPV	354	89704.8222	19246.2345
CISVD	360	156462.7791	127060.7983
CISMS	259	66815.3999	39440.9342
CE24819	258	64050.2983	43796.7596
CE14985	261	68233.7733	37291.8955
CE24815	260	57890.6134	58757.3908
CE24808	262	58099.4231	55039.0443
CIDJJ	332	60341.2011	47402.8632
CE24048	263	63904.1919	39208.1317
CIVCS	362	57552.6012	99484.4442
CE24088	264	52510.2173	68298.8071
CE24087	265	52215.0785	59413.8328
CE24714.FF	266	50875.4528	65799.8538
CE24014	267	59927.1684	38242.9857
CE24802	268	53125.0388	49504.2253
CIBBS	328	177918.1158	118087.3823
CE24965	269	57665.6413	112026.5358
CE12919	270	177843.9115	119274.5366
NP05424	273	50288.8572	51635.5936
CE24800	271	47676.3572	61005.5374
CE24706.FF	272	52343.3294	104169.1073
CE24763	274	45344.0887	67003.9529
CIRIN	353	46165.2106	61057.4345
NP00262	275	51285.8834	108192.1031
CE24805	276	46388.3473	53610.4616
NP5442	326	171693.3910	131436.3908
CE24866	277	47588.7514	49414.5511
CILFP	278	43918.3939	62519.1745
CE24051	279	44403.4222	55000.8600
CINOT	347	44327.6922	51915.5125
CE24806	280	43899.7479	50555.9189
CE24013	281	44604.1857	47104.4001
CISBB2	356	63847.8332	134222.8117
CISPF	359	50092.2203	32219.7148
CE24803	283	42683.3039	44373.9052
CIQUG	323	36765.6843	69670.3647
NP05428	284	39854.6952	50828.3516
CE24804	285	40061.1078	46968.4506
CIWSS	365	41827.0171	41655.1912
CE24279	286	34774.5874	66938.1839
CE24062	287	45212.0396	120305.5658
CE24354	288	32716.9649	66683.6569
CILEV	342	35999.0648	100548.0513
CE24861	289	34029.9305	48199.4994
CIPDE	290	27542.9694	68755.1236
CIALP	291	30313.6280	106270.9591
CE24396	292	42358.5883	19062.1842
CE24860	293	28700.1178	45116.2654
CE24293	294	32456.5402	115375.5763
CISMV	358	28131.2230	44634.7737
CE24126	295	26643.4196	46015.8604
CE24271	296	21863.0578	97432.3871
CE24280	297	14115.4809	60305.2463
CE24185	299	18463.4028	39015.7492
CIBTP	300	11142.2991	89751.6573
CIMOP	301	15971.1578	36109.9404
CIOSI	348	5288.9029	75243.6144
CE24864	302	11194.2030	28747.5283
CILGU	343	16756.7498	11923.9696
CE25282	303	8683.5644	19654.2646
CILDR	341	5853.3958	129711.3703
CE25969	304	2704.3159	15767.9954
CE25131	324	4316.0145	7897.3720
